restaurant_id,restaurant_name,restaurant_address,restaurant_type,city_name,avg_price,rating,business_hours,recommended_food,queue_time,consumption_time,longitude,latitude,citycode
B0G0B6YDBF,江边城外烤全鱼(上海世茂店),南京东路789号上海世茂广场L4层L410,中餐厅,上海市,115.0,4.7,10:30-22:00,烤鱼,25,60.0,121.475626,31.23454,21
B0KAAU36MR,gaga(人广来福士店),西藏中路268号来福士广场1层01C-01D号商铺,西餐厅,上海市,116.0,4.6,10:00-22:00,"下午茶,薯条",15,60.0,121.477261,31.232369,21
B00155QEUO,东泰祥生煎馆(重庆北路店),重庆北路188号(大沽路口),中餐厅,上海市,17.0,4.6,24小时营业,"鲜肉生煎,油豆腐百叶包粉丝汤,春笋肉丁面,葱油拌面,小馄饨,牛肉汤,生煎包,生煎,点心",5,20.0,121.470227,31.226184,21
B0I16HUDXB,鸟屋·烧鸟串烧居酒屋(人民广场店),汉口路706号(近地铁出口斜对面公安局对面),日本料理,上海市,119.0,4.6,11:00-24:00,"牛肉,鸡肉,日本料理",25,60.0,121.476795,31.233674,21
B0FFJ7VYBZ,定兴路蛋饼摊,定兴路6号(人民广场地铁站8号口步行330米),小吃店,上海市,11.0,4.7,05:30-13:00,"烤肠,鸡蛋饼,牛肉汤,蛋饼,油条,土豆丝,小吃快餐",5,10.0,121.47149,31.235403,21
B00156FMDD,贯贯吉清真餐厅Guanguanji qingzhen restaurant,浙江中路70号,中餐厅,上海市,60.0,4.7,06:30-01:30,"羊肉串,牛肉拉面,大盘鸡,手抓羊肉,酸奶,八宝茶,凉皮,自制酸奶,椒麻鸡,羊肉手抓饭",25,45.0,121.480589,31.231442,21
B0FFF3L17E,新白鹿(南京东路店),南京东路800号第一百货商业中心C馆9层(近西藏中路),中餐厅,上海市,60.0,4.7,10:30-21:13,"咕咾肉,豉油虾,一品开背虾,蛋黄鸡翅,秘制碳烤肉,话梅花生,上汤菠菜,玉米烙,蛋黄南瓜,糖醋排骨",25,60.0,121.47522,31.235815,21
B0K0UZ321X,伍棵煋炭烧自助料理(南京东路店),南京东路789号世茂广场东区L6,中餐厅,上海市,119.0,4.8,10:30-22:30,"鳗鱼,牛肉,烤肉,自助餐",25,90.0,121.476033,31.234694,21
B0JDJCPXQ3,上汤·云南传统过桥米线,九江路686号1层102b,中餐厅,上海市,74.0,4.8,10:00-21:00,"炭烤卤猪手,冰镇酸角汁,炭烤小黄牛粒,傣味烤鱼,木姜子薄荷翻牛肉,傣味风梨鲜虾牛肉凉拌米线,炭烤M3牛肉烧肉烧辣子米线,云南炭烤牛肉筋,烤杂菌,桂花玫瑰鲜奶米布",15,45.0,121.4774,31.234608,21
B0FFLKUIOM,小大董(新世界城店),南京西路2-68号新世界城南楼6楼6F-08区,中餐厅,上海市,163.0,4.6,11:00-21:30,"烤鸭,北京菜",25,90.0,121.474073,31.234822,21
