accommodation_id,accommodation_name,accommodation_address,accommodation_type,city_name,avg_price,rating,feature_hotel_type,longitude,latitude,citycode
B0383011GU,金玛crush·轻奢主题酒店(海旅免税城店),荔枝沟二组74号附近,酒店,三亚市,180,3.6,旅馆,109.526312,18.296737,899
B03830NLBF,三亚君豪商务快捷酒店(商品街店),商品街三巷34号,酒店,三亚市,150,3.6,经济型,109.514514,18.245962,899
B0FFLQCL8W,天涯海角温情驿栈(马岭街5号分店),马岭社区东二街铁路巷358号(天涯邮政公交车站上面),招待所,三亚市,120,4.4,"客栈,低价实惠",109.334225,18.304575,899
B0FFFLX4F7,三亚星悦度假酒店(千古情店),荔枝沟路139号(农业银行北10米、千古情西北500米),招待所,三亚市,320,4.5,"度假酒店,低价实惠",109.52701,18.297239,899
B03830177I,华亭酒店(三亚湾椰梦长廊店),儋州三巷4号,酒店,三亚市,220,4.4,经济型,109.500476,18.25599,899
B0FFF36GEB,三亚南湾客栈,海棠湾林旺大道142号(光大银行旁),招待所,三亚市,120,4.7,"客栈,低价实惠",109.70345,18.312306,899
B03830NIG8,赣江之星快捷酒店(千古情店),南新街221号,酒店,三亚市,120,4.3,"经济型,低价实惠",109.523957,18.295122,899
B038300CTN,新兴花园大酒店,三亚河东路451号,四星级酒店,三亚市,480,4.3,高档型,109.500426,18.269489,899
B03830MOIF,新宇iio·智能酒店(三亚湾解放路步行街店),市中心解放三路669号明珠广场对面,商务酒店,三亚市,320,4.2,"商务酒店,购物便捷",109.502903,18.257193,899
B03830NVVY,晨阳驿站(三亚天涯店),天涯镇马岭社区东二街铁路二巷357号,酒店,三亚市,120,4.1,客栈,109.334288,18.304414,899
B038300YPZ,三亚观来酒店,解放一路122号,酒店,三亚市,220,3.9,经济型,109.507371,18.238853,899
B0FFFHZ0T7,三亚金凤凰精品海景度假公寓,新浪国际公馆保安亭方向直走30米,三星级酒店,三亚市,380,4.8,公寓式酒店,109.493778,18.263097,899
B0H6P6J1ZH,三亚邻海青年旅社(三亚湾店),胜利路东宏花园A栋3单元505室,酒店,三亚市,80,4.1,青年旅舍,109.503127,18.247524,899
B0FFFLZSF7,三亚帕尔美纳国际度假公寓(三亚湾店),海坡旅游区鲁能新城路国航帕尔美纳A栋404,酒店,三亚市,380,4.3,公寓式酒店,109.424717,18.291568,899
B0383017IT,三亚巴哥度假屋,三亚湾路10号兰海花园1期A座3B,酒店,三亚市,380,4.9,"民宿,海滨风光",109.488856,18.267262,899
B0FFFGNUQS,三亚嫒尚酒店(商品街店),商品街5巷3号陈学波住宅楼,快捷酒店,三亚市,150,4.1,"快捷酒店,低价实惠",109.513234,18.24652,899
B0383011IK,三亚方正湖酒店(亚龙湾店),吉阳镇转盘右边300米,酒店,三亚市,220,4.2,经济型,109.590693,18.280569,899
B0FFGJQWAO,三亚湾温馨之家公寓(三亚湾路分店),三亚湾路156号美丽新海岸小区1栋3单元301室,酒店,三亚市,150,4.2,公寓式酒店,109.456917,18.286831,899
B0KG964IT6,易宿国际青年旅舍(三亚步行街海景店),解放二路524号汽车大厦10楼,招待所,三亚市,85,4.4,青年旅舍,109.505004,18.250451,899
B0FFFGPZ4N,速8精选酒店(三亚湾椰梦长廊店),铁路东巷40号,经济型连锁酒店,三亚市,220,4.8,"舒适型,购物便捷",109.500005,18.257412,899
B0FFLHWKMZ,三亚得居圣岛旅租,龙江风情小镇,招待所,三亚市,120,4.3,"青年旅舍,低价实惠",109.709987,18.336591,899
B0383011CK,三亚义德隆宾馆,春园路春园海鲜广场河西路154号,酒店,三亚市,120,4.5,"经济型,低价实惠",109.50429,18.259873,899
B0FFFGPYU8,三亚悦访酒店(三亚湾步行街店),河西路221号,酒店,三亚市,150,3.9,旅馆,109.505559,18.256375,899
B0FFHFX031,伊鑫旅租,高峰路与凤凰路的交汇处南5米(清真东寺东侧),酒店,三亚市,120,4.2,"经济型,低价实惠",109.446199,18.300041,899
B0K2HUHPPU,贝壳酒店(解放碑洪崖洞店),解放碑街道五四路赛格尔大厦第10楼1017,经济型连锁酒店,重庆市,150,4.4,"住宿服务,宾馆酒店,经济型连锁酒店",106.577003,29.55906,23
B00178USKE,江畔假日酒店,三合街道滨江东路4号,酒店,重庆市,150,4.8,经济型,107.734049,29.871596,23
B001787U3C,朗瑞商务酒店,石桥铺渝州路19号(近赛博数码城),酒店,重庆市,150,4.9,经济型,106.483443,29.533155,23
B001786PUY,双星宾馆(双星大道),金剑路219号附2号,酒店,重庆市,120,4.2,"经济型,低价实惠",106.232831,29.574678,23
B0FFFAJIU1,天豪宾馆(重庆五里店店),建新东路295号远银大厦,招待所,重庆市,120,4.9,经济型,106.557604,29.579247,23
B001786K8H,绿梦酒店(重庆江北国际机场店),双龙大道472号(双龙地铁站1号口步行380米),快捷酒店,重庆市,150,4.3,快捷酒店,106.622253,29.699451,23
B0LUF1V0B2,雅悦酒店(原都市118酒店),百城街91号附325号,经济型连锁酒店,重庆市,150,5.0,"住宿服务,宾馆酒店,经济型连锁酒店",108.404942,31.171461,23
B00178YR0J,7天连锁酒店(重庆永川客运中心站店),内环南路611号,经济型连锁酒店,重庆市,120,4.3,"经济型,7天特惠",105.901374,29.342905,23
B0FFHBXYN1,深度精品酒店,上清寺街道中山三路171号,招待所,重庆市,150,4.8,"经济型,低价实惠",106.547775,29.559339,23
B001795TE3,7天连锁酒店(重庆黔江交西路店),交通路561号,经济型连锁酒店,重庆市,120,4.8,"经济型,7天特惠",108.777256,29.523633,23
B001792ZKJ,嘉华时尚酒店(丰都鬼城店),三合街道平都大道西段123号3楼,酒店,重庆市,120,4.8,经济型,107.725479,29.862149,23
B0FFG1DYYU,易佰酒店(重庆观音桥九街店),兴隆路5-1-5,经济型连锁酒店,重庆市,150,4.2,经济型,106.539419,29.579031,23
B0FFGS9036,骑士酒店(重庆观音桥红旗河沟地铁站店),洋河三村1号(红旗河沟地铁站4号口步行450米),酒店,重庆市,150,4.8,经济型,106.52852,29.585568,23
B00170I3TN,鑫梦酒店(重庆杨家坪万象城店),石坪桥后街1号(石坪桥地铁站2B口步行140米),酒店,重庆市,150,4.6,"经济型,浪漫约会",106.504571,29.515116,23
B0FFFEFCS1,易佰酒店(重庆观音桥步行街观音桥地铁站店),建新西路2号北城艺术大厦9层(观音桥地铁站1号口步行80米),经济型连锁酒店,重庆市,150,4.5,快捷酒店,106.532639,29.572247,23
B0FFFFKOD2,布丁酒店(重庆龙头寺火车北站店),泰山大道东段62号动力国际B座8层,经济型连锁酒店,重庆市,120,4.3,"经济型,低价实惠",106.55414,29.60383,23
B0FFFFANRS,布丁酒店(重庆解放碑洪崖洞步行街店),帝都广场写字楼A栋11层(小什字地铁站6号口步行230米),经济型连锁酒店,重庆市,150,4.3,经济型,106.580246,29.55995,23
B0FFFR54IP,布丁酒店(重庆杨家坪轻轨站动物园店),前进路38号西郊大厦5层停车场,经济型连锁酒店,重庆市,120,4.4,"经济型,低价实惠",106.512691,29.506438,23
B0FFFAJPKL,瑞洁酒店(解放碑洪崖洞店),西来寺4号西南图书大厦15层,酒店,重庆市,220,4.4,经济型,106.571594,29.558192,23
B0FFG03UCJ,渝盛酒店(解放碑得意潮馆店),民生路四贤巷3号青鸟大厦5楼,酒店,重庆市,150,4.4,"经济型,低价实惠",106.57327,29.554722,23
B001792Z8S,盘龙酒店(重庆长寿汽车客运总站店),桃花大道24号,快捷酒店,重庆市,120,4.9,快捷酒店,107.080461,29.839752,23
B001797LH9,重庆艾夫酒店(南坪步行街万达广场店),江南大道8号万达广场4栋时尚楼6层(轻轨3号线南坪站6出口),三星级酒店,重庆市,220,4.8,经济型,106.569942,29.525077,23
B001795TLJ,斯普兰精品酒店(江北国际机场店),渝航路141号(渝北广场地铁站1A口步行180米),酒店,重庆市,220,4.6,经济型,106.63297,29.719459,23
B001790LS5,美宜登酒店,国本路147号附3号(距离国本路公交站200米),三星级酒店,重庆市,160,4.7,经济型,108.366166,30.815827,23
B00170BSZ0,凤凰丽都连锁酒店(重庆轻轨6号线花卉园站店),松树桥花卉园西二路7号(花卉园地铁站2C口步行290米),经济型连锁酒店,重庆市,150,4.7,经济型,106.510993,29.581246,23
B00178X5S5,美丽花园酒店(重庆大学城熙街店),美丽熙街二期18号楼1层,酒店,重庆市,150,4.3,经济型,106.30365,29.60438,23
B00178UVRG,央航金鼎酒店(重庆长寿客运总站店),凤城街道金山街27号,商务酒店,重庆市,220,4.7,商务酒店,107.078869,29.83996,23
B00170I2UO,重庆文德酒店(四公里地铁站店),南坪镇青龙路96号附7号四公里永辉超市楼上3号楼,酒店,重庆市,150,4.1,经济型,106.574112,29.511371,23
B0FFHQEUAM,北欧尚品酒店(重庆观音桥步行街店),观音桥建新南路21号-煌华晶萃城1栋3楼,酒店,重庆市,220,4.3,舒适型,106.536066,29.570004,23
B0FFIBZYT5,布丁酒店(重庆大坪医院地铁站店),"大坪正街8号(近大坪小学,距大坪医院30米)",经济型连锁酒店,重庆市,120,4.5,经济型,106.519332,29.54077,23
B0FFGFWBWE,艾希酒店(重庆解放碑较场口地铁站店),中兴路7号渝亚大厦3楼(较场口地铁站4号口步行60米),商务酒店,重庆市,220,4.0,商务酒店,106.571865,29.552458,23
B0LB4S0JWU,海友酒店(重庆沙坪坝火车站三峡广场店),汉渝路16号,酒店,重庆市,150,4.8,"住宿服务,住宿服务相关,住宿服务相关",106.466269,29.558074,23
B00170IGAI,秀山大酒店,双凤街21号,三星级酒店,重庆市,220,4.6,经济型,108.995856,28.434751,23
B0FFF0DOXJ,重庆港丽酒店(南坪会展中心店),南坪江南大道7号1栋(工贸地铁站1号口步行190米),酒店,重庆市,150,4.3,经济型,106.565751,29.531601,23
B0FFF0ELZO,英才假日酒店,开州大道117号新天地广场A栋4层,三星级酒店,重庆市,220,4.9,经济型,108.403304,31.168701,23
B0FFHMCU4C,7天酒店(重庆鱼洞步行街都汇里店),巴县大道25-1号,经济型连锁酒店,重庆市,120,4.7,"经济型,7天特惠",106.526974,29.379719,23
B0FFIIXZG5,雅斯特酒店(重庆陈家坪地铁站店),陈家坪石杨路66号玖城壹号8栋12-16层,酒店,重庆市,220,4.7,舒适型,106.486119,29.520948,23
B001706IAR,荣华大酒店,长城路616号,三星级酒店,重庆市,280,4.6,三星级酒店,106.254273,29.270428,23
B001786QMP,7天连锁酒店(重庆沙坪坝步行街高铁站店),小龙坎新街74号金沙国际大厦8楼,经济型连锁酒店,重庆市,150,4.6,"经济型,7天特惠",106.463706,29.55888,23
B00178VTUC,7天连锁酒店(重庆沙坪坝重庆大学店),渝碚路222号附1号,经济型连锁酒店,重庆市,150,4.2,"经济型,7天特惠",106.454588,29.562936,23
B00170I0UO,7天酒店(重庆沙坪坝高铁站三峡广场店),汉渝路43号9楼-12楼,经济型连锁酒店,重庆市,150,4.2,"经济型,7天特惠",106.468675,29.559301,23
B00170L60Y,7天优品酒店(重庆观音桥华新街轻轨站店),建新南路18号城市领地A座(华新街地铁站2号口步行220米),经济型连锁酒店,重庆市,150,4.3,"经济型,7天特惠",106.536883,29.565905,23
B001797LTM,星豪鸿连锁酒店(重庆观音桥星光68店),建新北路26号光宇大厦7层,酒店,重庆市,150,4.6,经济型,106.529934,29.579866,23
B0017875O8,7天优品Prenium酒店(重庆观音桥红旗河沟地铁站店),东和银都大厦红石路2号(红旗河沟轻轨站1号出口),商务酒店,重庆市,150,4.5,"商务酒店,7天特惠",106.526339,29.584034,23
B00178X799,如家酒店·neo(重庆江北国际机场渝北广场地铁站店),双凤路178号,经济型连锁酒店,重庆市,160,4.5,快捷酒店,106.630531,29.725003,23
B00178366G,橡树林酒店(重庆南坪商业中心区回龙湾店),青龙路38号,酒店,重庆市,160,4.8,"经济型,疫情轨迹点",106.563293,29.51244,23
B0017875DO,汉马酒店(重庆万州万达广场店),王牌路68号,三星级酒店,重庆市,220,4.8,舒适型,108.379226,30.801487,23
B00178X3DW,7天酒店(重庆石桥铺地铁站店),陈家坪科园三街132号6楼,经济型连锁酒店,重庆市,150,4.7,"经济型,7天特惠",106.48991,29.527515,23
B0017875F8,橡树林酒店(龙湖时代天街重医附一院店),长江二路107号(大坪地铁站4B口步行240米),经济型连锁酒店,重庆市,160,4.7,经济型,106.517956,29.538205,23
B0FFHH449P,深圳民丰公寓,民治街道白石龙老村36栋,招待所,深圳市,80,2.6,经济型,114.03523,22.604551,755
B0FFGROFUS,青朴旅居公寓(深圳世界之窗店),沙河世纪广场C座14楼1402,招待所,深圳市,120,4.6,"旅馆,低价实惠",113.972074,22.53875,755
B0FFFLJLVP,栖游青年旅舍,振兴路113号新欣大厦B座4层,招待所,深圳市,80,4.3,经济型,114.082356,22.546309,755
B0FFGG7OI1,198精品酒店(深圳公明广场地铁站大仟里店),马田街道合水口社区金安路11号商业大厦1楼,酒店,深圳市,150,4.7,经济型,113.889427,22.781319,755
