city_id,up_ad_name,up_ad_code,cityname,adcode,citycode
141121_0358,,,文水县,141121,0358
141122_0358,,,交城县,141122,0358
141123_0358,,,兴县,141123,0358
141124_0358,,,临县,141124,0358
141125_0358,,,柳林县,141125,0358
141126_0358,,,石楼县,141126,0358
141127_0358,,,岚县,141127,0358
141128_0358,,,方山县,141128,0358
141129_0358,,,中阳县,141129,0358
141130_0358,,,交口县,141130,0358
141181_0358,,,孝义市,141181,0358
141182_0358,,,汾阳市,141182,0358
150000_\N,,,内蒙古自治区,150000,\N
150100_0471,,,呼和浩特市,150100,0471
150102_0471,,,新城区,150102,0471
150103_0471,,,回民区,150103,0471
150104_0471,,,玉泉区,150104,0471
150105_0471,,,赛罕区,150105,0471
150121_0471,,,土默特左旗,150121,0471
150122_0471,,,托克托县,150122,0471
150123_0471,,,和林格尔县,150123,0471
150124_0471,,,清水河县,150124,0471
150125_0471,,,武川县,150125,0471
150200_0472,,,包头市,150200,0472
150202_0472,,,东河区,150202,0472
150203_0472,,,昆都仑区,150203,0472
150204_0472,,,青山区,150204,0472
150205_0472,,,石拐区,150205,0472
150206_0472,,,白云鄂博矿区,150206,0472
150207_0472,,,九原区,150207,0472
150221_0472,,,土默特右旗,150221,0472
150222_0472,,,固阳县,150222,0472
150223_0472,,,达尔罕茂明安联合旗,150223,0472
150300_0473,,,乌海市,150300,0473
150302_0473,,,海勃湾区,150302,0473
150303_0473,,,海南区,150303,0473
150304_0473,,,乌达区,150304,0473
150400_0476,,,赤峰市,150400,0476
150402_0476,,,红山区,150402,0476
150403_0476,,,元宝山区,150403,0476
150404_0476,,,松山区,150404,0476
150421_0476,,,阿鲁科尔沁旗,150421,0476
150422_0476,,,巴林左旗,150422,0476
150423_0476,,,巴林右旗,150423,0476
150424_0476,,,林西县,150424,0476
150425_0476,,,克什克腾旗,150425,0476
150426_0476,,,翁牛特旗,150426,0476
150428_0476,,,喀喇沁旗,150428,0476
150429_0476,,,宁城县,150429,0476
150430_0476,,,敖汉旗,150430,0476
150500_0475,,,通辽市,150500,0475
150502_0475,,,科尔沁区,150502,0475
150521_0475,,,科尔沁左翼中旗,150521,0475
150522_0475,,,科尔沁左翼后旗,150522,0475
150523_0475,,,开鲁县,150523,0475
150524_0475,,,库伦旗,150524,0475
150525_0475,,,奈曼旗,150525,0475
150526_0475,,,扎鲁特旗,150526,0475
150581_0475,,,霍林郭勒市,150581,0475
150600_0477,,,鄂尔多斯市,150600,0477
150602_0477,,,东胜区,150602,0477
150603_0477,,,康巴什区,150603,0477
150621_0477,,,达拉特旗,150621,0477
150622_0477,,,准格尔旗,150622,0477
150623_0477,,,鄂托克前旗,150623,0477
150624_0477,,,鄂托克旗,150624,0477
150625_0477,,,杭锦旗,150625,0477
